loan_id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,loan_status,purpose,dti,delinq_2yrs,open_acc,pub_rec,revol_util,total_acc,addr_state,issue_d,is_default
LC000026,25000,36,14.82,864.43,C,C1,6 years,RENT,62790,Fully Paid,debt_consolidation,15.19,2,11,0,83.2,19,NY,2022-01-01,0
LC000027,12000,36,27.68,494.29,F,F2,10+ years,RENT,140165,Fully Paid,home_improvement,25.38,0,25,0,36.9,44,WI,2016-03-01,0
LC000028,12000,36,8.09,376.53,A,A3,6 years,RENT,79359,Fully Paid,credit_card,38.26,0,6,0,56.6,7,VA,2021-11-01,0
LC000029,30000,60,10.74,648.39,B,B4,1 year,OWN,21849,Fully Paid,major_purchase,33.02,4,11,0,92.0,26,MA,2021-12-01,0
LC000030,25000,36,10.98,818.23,B,B1,7 years,RENT,60142,Fully Paid,debt_consolidation,14.63,0,14,0,34.0,33,NC,2015-09-01,0
LC000031,5000,36,17.89,180.49,D,D4,3 years,MORTGAGE,83111,Fully Paid,credit_card,31.13,0,21,0,55.3,32,AZ,2020-06-01,0
LC000032,10000,36,11.95,331.9,B,B1,5 years,RENT,73976,Fully Paid,other,12.44,0,27,0,28.3,30,OH,2019-04-01,0
LC000033,30000,36,17.05,1070.33,D,D2,< 1 year,MORTGAGE,78901,Fully Paid,debt_consolidation,12.8,0,13,0,5.1,28,FL,2016-07-01,0
LC000034,35000,60,19.43,916.22,D,D2,9 years,MORTGAGE,40492,Fully Paid,debt_consolidation,35.58,0,19,0,90.9,28,MD,2021-05-01,0
LC000035,12000,36,29.3,504.83,G,G1,3 years,MORTGAGE,52179,Current,car,0.12,0,22,0,3.3,31,MI,2022-02-01,0
LC000036,15000,60,17.29,375.13,D,D5,3 years,OWN,72448,Fully Paid,home_improvement,7.47,0,26,0,92.1,40,FL,2022-12-01,0
LC000037,12000,60,12.34,269.0,B,B5,1 year,MORTGAGE,71216,Current,credit_card,25.88,3,27,0,27.0,28,PA,2022-09-01,0
LC000038,20000,60,8.43,409.66,A,A5,7 years,OTHER,62234,Fully Paid,credit_card,14.84,0,12,0,40.0,29,TX,2022-02-01,0
LC000039,12000,36,31.49,519.26,G,G4,< 1 year,MORTGAGE,69176,Late (31-120 days),small_business,22.43,0,4,0,54.9,13,MA,2022-02-01,1
LC000040,7500,36,13.47,254.41,C,C2,4 years,MORTGAGE,68293,Fully Paid,other,37.45,0,25,0,70.5,38,TN,2022-04-01,0
LC000041,25000,36,8.15,785.14,A,A5,2 years,MORTGAGE,26061,Fully Paid,credit_card,12.02,0,26,0,58.7,41,IL,2022-09-01,0
LC000042,25000,36,19.98,928.83,D,D4,5 years,MORTGAGE,32370,Late (31-120 days),credit_card,31.74,1,15,2,79.2,35,IL,2022-01-01,1
LC000043,40000,60,11.6,881.71,B,B1,7 years,RENT,90283,Late (31-120 days),small_business,38.33,2,30,0,95.4,50,TN,2015-10-01,1
LC000044,7500,36,19.78,277.89,D,D3,1 year,OWN,25379,Late (31-120 days),moving,40.65,0,28,0,35.8,41,IL,2018-09-01,1
LC000045,40000,36,18.84,1463.01,D,D2,9 years,MORTGAGE,74414,Fully Paid,debt_consolidation,11.43,0,3,1,46.5,12,MO,2017-02-01,0
LC000046,30000,36,14.53,1033.07,C,C4,7 years,MORTGAGE,42738,Current,home_improvement,16.15,0,25,0,97.8,37,NC,2015-10-01,0
LC000047,12000,60,31.48,399.22,G,G5,4 years,MORTGAGE,20199,Default,other,30.5,1,24,0,13.7,27,TX,2019-08-01,1
LC000048,35000,60,18.46,897.55,D,D1,5 years,MORTGAGE,47172,Fully Paid,medical,22.58,0,8,0,82.5,23,MI,2020-02-01,0
LC000049,5000,36,17.49,179.49,D,D2,10+ years,OTHER,37500,Late (31-120 days),small_business,16.59,1,11,0,82.2,22,FL,2018-08-01,1
LC000050,25000,36,9.18,797.09,B,B5,1 year,MORTGAGE,58666,Current,debt_consolidation,1.67,5,6,0,88.7,10,WA,2022-06-01,0
LC000051,40000,36,28.81,1672.1,F,F4,2 years,MORTGAGE,144522,Current,credit_card,1.47,0,17,0,23.6,28,FL,2020-09-01,0
LC000052,12000,60,7.39,239.83,A,A3,1 year,MORTGAGE,88282,Current,debt_consolidation,0.96,1,10,2,78.7,16,NY,2018-10-01,0
LC000053,10000,36,12.19,333.05,B,B2,9 years,RENT,93114,Fully Paid,other,4.95,2,7,0,79.0,14,MD,2020-01-01,0
LC000054,7500,36,17.89,270.73,D,D5,1 year,OWN,106092,Fully Paid,debt_consolidation,27.68,1,30,0,30.2,50,CA,2015-08-01,0
LC000055,40000,60,7.19,795.64,A,A4,1 year,RENT,46025,Current,debt_consolidation,14.63,5,19,0,50.6,32,FL,2016-11-01,0
LC000056,7500,36,18.25,272.08,D,D2,3 years,OWN,103698,Fully Paid,credit_card,11.47,3,24,1,6.7,26,NY,2021-02-01,0
LC000057,25000,60,7.88,505.48,A,A1,8 years,MORTGAGE,83254,Fully Paid,credit_card,43.58,0,14,0,50.7,18,TN,2018-02-01,0
LC000058,5000,60,7.63,100.5,A,A3,6 years,MORTGAGE,85374,Fully Paid,credit_card,31.21,0,11,0,30.9,21,VA,2015-03-01,0
LC000059,30000,36,10.48,974.79,B,B2,< 1 year,RENT,67782,Default,other,32.47,1,21,0,88.3,25,PA,2015-11-01,1
LC000060,25000,36,19.71,925.4,D,D4,6 years,RENT,83192,Fully Paid,home_improvement,26.69,0,12,0,39.5,31,TX,2015-04-01,0
LC000061,25000,36,5.92,759.64,A,A3,1 year,RENT,84051,Current,debt_consolidation,25.14,0,14,0,86.2,15,AZ,2015-08-01,0
LC000062,40000,36,15.76,1401.55,C,C5,10+ years,OWN,30504,Fully Paid,credit_card,16.28,0,6,0,58.9,22,NY,2021-05-01,0
LC000063,20000,60,20.28,533.0,D,D1,1 year,OWN,20107,Current,credit_card,36.68,0,7,0,17.3,11,NY,2017-11-01,0
LC000064,20000,36,17.27,715.74,D,D4,9 years,MORTGAGE,120424,Default,home_improvement,19.9,0,11,0,35.2,13,MI,2022-08-01,1
LC000065,35000,60,23.96,1006.07,E,E1,1 year,MORTGAGE,65738,Current,home_improvement,1.85,2,21,0,32.2,36,IN,2017-01-01,0
LC000066,20000,36,22.13,765.15,E,E1,2 years,RENT,68532,Fully Paid,credit_card,18.39,0,22,0,63.1,32,NY,2020-02-01,0
LC000067,25000,36,11.84,828.45,B,B5,5 years,RENT,40493,Fully Paid,small_business,3.81,0,23,0,81.3,39,NY,2021-09-01,0
LC000068,35000,60,8.34,715.38,A,A2,7 years,RENT,28437,Current,debt_consolidation,39.77,0,13,1,61.8,32,WA,2017-03-01,0
LC000069,30000,60,16.01,729.7,C,C2,< 1 year,OWN,79265,Current,other,35.27,0,10,0,80.9,25,OH,2020-11-01,0
LC000070,15000,36,14.92,519.39,C,C3,8 years,OWN,87734,Fully Paid,other,16.7,3,25,0,85.1,34,NY,2017-05-01,0
LC000071,20000,36,24.98,794.98,E,E1,3 years,MORTGAGE,57595,Fully Paid,car,16.87,0,6,0,65.0,10,IL,2015-05-01,0
LC000072,15000,36,21.49,568.91,E,E4,< 1 year,MORTGAGE,76426,Fully Paid,credit_card,10.73,0,22,0,11.1,37,WI,2015-11-01,0
LC000073,7500,36,6.44,229.66,A,A4,5 years,RENT,52518,Fully Paid,debt_consolidation,42.9,0,28,2,55.4,40,TN,2015-11-01,0
LC000074,40000,60,18.33,1022.93,D,D3,5 years,RENT,75545,Default,other,2.0,0,29,0,83.0,43,TN,2017-03-01,1
LC000075,25000,60,7.17,497.04,A,A2,3 years,MORTGAGE,51683,Fully Paid,debt_consolidation,11.4,1,9,0,86.2,10,NJ,2019-02-01,0
LC000076,20000,60,11.08,435.65,B,B4,6 years,RENT,27167,Default,small_business,36.05,1,5,0,99.5,10,MO,2019-06-01,1
LC000077,20000,60,18.74,515.95,D,D3,6 years,RENT,59583,Late (31-120 days),credit_card,28.78,1,4,0,63.8,15,IN,2017-01-01,1
LC000078,40000,36,17.61,1438.28,D,D4,1 year,RENT,79012,Fully Paid,debt_consolidation,20.25,0,17,0,57.4,33,VA,2021-06-01,0
LC000079,40000,36,8.67,1265.85,A,A2,6 years,MORTGAGE,81224,Fully Paid,credit_card,22.1,0,30,0,17.3,44,NY,2020-11-01,0
LC000080,12000,60,13.95,278.91,C,C3,10+ years,RENT,55770,Current,small_business,22.23,0,21,0,80.4,38,IL,2016-02-01,0
LC000081,35000,36,20.51,1309.84,D,D5,6 years,MORTGAGE,81155,Charged Off,credit_card,35.11,0,8,0,12.9,24,TX,2016-09-01,1
LC000082,35000,36,7.5,1088.72,A,A2,8 years,MORTGAGE,96578,Charged Off,debt_consolidation,27.65,0,23,0,94.2,27,PA,2020-10-01,1
LC000083,30000,60,7.18,596.59,A,A5,3 years,MORTGAGE,53314,Default,debt_consolidation,28.89,0,10,0,68.5,19,MA,2016-12-01,1
LC000084,20000,60,9.52,420.23,B,B4,9 years,RENT,102505,Default,debt_consolidation,16.67,0,13,0,12.3,27,GA,2017-02-01,1
LC000085,35000,36,24.52,1382.72,E,E4,2 years,MORTGAGE,47366,Default,debt_consolidation,22.38,0,15,0,96.7,21,MD,2020-01-01,1
LC000086,20000,60,14.46,470.15,C,C4,< 1 year,MORTGAGE,39265,Current,debt_consolidation,18.03,0,9,0,28.9,21,IN,2022-09-01,0
LC000087,20000,60,17.8,505.7,D,D1,1 year,RENT,95308,Fully Paid,debt_consolidation,22.91,0,4,0,71.4,19,IN,2022-03-01,0
LC000088,20000,36,11.04,655.15,B,B5,6 years,OTHER,87123,Current,debt_consolidation,22.04,0,18,0,36.8,21,AZ,2019-12-01,0
LC000089,10000,36,15.88,350.98,C,C3,9 years,MORTGAGE,102553,Fully Paid,car,34.86,0,29,0,3.2,32,OH,2015-08-01,0
LC000090,30000,36,18.26,1088.49,D,D4,9 years,MORTGAGE,44811,Fully Paid,credit_card,7.79,2,13,0,67.6,33,NC,2022-04-01,0
LC000091,35000,60,12.18,781.74,B,B3,3 years,MORTGAGE,63832,Late (31-120 days),other,12.31,0,24,0,89.6,36,VA,2017-05-01,1
LC000092,35000,60,5.55,669.35,A,A4,7 years,RENT,95616,Current,home_improvement,27.71,0,10,0,90.5,17,GA,2015-02-01,0
LC000093,30000,36,5.8,909.94,A,A2,8 years,OTHER,27913,Current,debt_consolidation,43.38,0,23,0,76.9,43,MD,2018-09-01,0
LC000094,15000,60,5.04,283.34,A,A2,2 years,MORTGAGE,88054,Fully Paid,credit_card,25.56,0,13,0,98.9,30,IN,2022-03-01,0
LC000095,12000,36,8.42,378.37,A,A1,7 years,MORTGAGE,53314,Fully Paid,debt_consolidation,40.37,1,19,0,40.1,22,PA,2017-08-01,0
LC000096,5000,36,10.44,162.37,B,B2,4 years,OTHER,35211,Fully Paid,credit_card,10.63,0,17,0,40.5,33,MI,2016-11-01,0
LC000097,25000,60,16.65,616.62,C,C2,7 years,RENT,111426,Fully Paid,car,34.08,1,29,0,24.7,48,NY,2022-09-01,0
LC000098,35000,36,15.72,1225.66,C,C1,8 years,RENT,67493,Fully Paid,major_purchase,32.26,0,19,0,5.6,23,IN,2021-08-01,0
LC000099,7500,36,17.24,268.29,D,D3,6 years,RENT,34429,Default,other,40.24,5,18,0,40.9,22,AZ,2020-07-01,1
LC000100,10000,60,9.89,211.93,B,B5,5 years,RENT,130439,Fully Paid,debt_consolidation,0.16,0,12,0,71.9,25,MO,2021-04-01,0
LC000101,5000,36,9.18,159.42,B,B1,10+ years,OWN,86235,Fully Paid,debt_consolidation,19.75,0,27,1,5.6,43,MI,2018-12-01,0
LC000102,15000,36,20.79,563.51,D,D3,2 years,OTHER,67052,Default,debt_consolidation,39.59,2,23,0,55.6,24,VA,2021-09-01,1
LC000103,10000,60,12.66,225.79,B,B3,8 years,OWN,99774,Default,credit_card,25.31,4,20,0,38.8,28,OH,2020-11-01,1
LC000104,5000,60,21.75,137.38,E,E1,3 years,RENT,49783,Current,credit_card,34.28,1,20,0,20.9,30,MI,2015-04-01,0
LC000105,20000,60,6.52,391.51,A,A4,9 years,MORTGAGE,57848,Fully Paid,medical,24.01,0,11,0,88.3,25,FL,2022-06-01,0
LC000106,25000,36,9.78,804.1,B,B5,2 years,RENT,72553,Fully Paid,small_business,10.35,0,10,0,65.5,20,NC,2022-12-01,0
LC000107,5000,36,8.36,157.51,A,A3,8 years,OWN,141941,Fully Paid,debt_consolidation,3.34,1,4,0,41.2,24,GA,2016-12-01,0
LC000108,15000,36,14.15,513.76,C,C1,10+ years,MORTGAGE,60162,Fully Paid,home_improvement,22.6,0,16,0,91.0,19,FL,2017-04-01,0
LC000109,12000,36,24.31,472.75,E,E3,1 year,RENT,54005,Current,other,3.63,5,23,0,9.4,35,WA,2022-01-01,0
LC000110,12000,60,7.77,242.0,A,A4,5 years,MORTGAGE,66661,Fully Paid,home_improvement,25.51,0,5,0,28.0,22,MD,2015-03-01,0
LC000111,40000,60,30.56,1307.93,G,G5,6 years,MORTGAGE,43796,Charged Off,debt_consolidation,40.34,0,27,0,79.0,29,IN,2020-01-01,1
LC000112,5000,60,24.13,144.22,E,E3,9 years,OTHER,43952,Charged Off,home_improvement,20.27,0,20,1,43.2,38,WA,2016-10-01,1
LC000113,20000,36,17.37,716.74,D,D1,6 years,MORTGAGE,101044,Fully Paid,debt_consolidation,42.43,0,27,0,13.3,32,AZ,2022-09-01,0
LC000114,15000,36,8.12,470.88,A,A3,9 years,MORTGAGE,50877,Fully Paid,credit_card,32.62,0,10,0,17.0,22,PA,2017-05-01,0
LC000115,12000,60,6.98,237.5,A,A4,4 years,OWN,40022,Fully Paid,debt_consolidation,27.75,0,7,0,94.9,17,WI,2021-06-01,0
LC000116,10000,60,24.87,292.75,E,E5,5 years,MORTGAGE,89650,Late (31-120 days),debt_consolidation,13.12,0,18,1,78.2,28,WA,2019-07-01,1
LC000117,7500,60,8.18,152.72,A,A5,8 years,RENT,18980,Fully Paid,debt_consolidation,18.41,0,23,0,25.3,27,AZ,2021-02-01,0
LC000118,35000,36,16.66,1241.93,C,C5,6 years,OWN,95942,Fully Paid,credit_card,4.92,0,24,0,64.7,25,MD,2021-06-01,0
LC000119,20000,36,8.09,627.56,A,A3,8 years,MORTGAGE,79921,Current,debt_consolidation,26.49,0,14,2,48.3,23,AZ,2016-02-01,0
LC000120,30000,36,10.2,970.84,B,B3,3 years,OWN,56271,Fully Paid,credit_card,36.46,0,30,0,10.9,35,GA,2017-09-01,0
LC000121,5000,60,28.53,157.28,F,F2,10+ years,RENT,80365,Default,other,20.23,0,3,0,20.6,5,MD,2016-09-01,1
LC000122,40000,36,5.46,1207.11,A,A1,7 years,OWN,87396,Fully Paid,debt_consolidation,15.84,0,8,0,70.6,17,WI,2016-11-01,0
LC000123,25000,36,10.95,817.88,B,B2,2 years,OWN,59922,Current,credit_card,24.18,2,8,0,49.0,12,PA,2020-08-01,0
LC000124,30000,36,28.36,1246.75,F,F4,6 years,OTHER,65603,Default,debt_consolidation,21.99,0,3,0,22.1,4,NC,2018-09-01,1
LC000125,20000,36,16.03,703.44,C,C4,1 year,MORTGAGE,42040,Fully Paid,credit_card,34.2,0,9,2,10.2,29,GA,2019-01-01,0
LC000126,40000,60,24.44,1160.96,E,E4,1 year,MORTGAGE,19735,Late (31-120 days),small_business,27.46,0,22,0,20.7,28,TX,2020-09-01,1
LC000127,7500,36,8.0,235.02,A,A3,4 years,OTHER,73569,Fully Paid,debt_consolidation,18.52,0,11,1,12.7,15,GA,2017-12-01,0
LC000128,7500,60,24.52,218.03,E,E4,9 years,MORTGAGE,77467,Late (31-120 days),credit_card,4.19,0,11,0,87.7,25,TN,2020-10-01,1
LC000129,25000,60,6.98,494.79,A,A4,5 years,MORTGAGE,99036,Current,home_improvement,14.53,0,20,0,56.6,35,NJ,2015-01-01,0
LC000130,10000,60,14.21,233.77,C,C1,2 years,OWN,28629,Current,medical,39.35,2,5,0,25.0,16,PA,2015-07-01,0
LC000131,12000,36,18.78,438.54,D,D4,1 year,RENT,63526,Current,home_improvement,0.36,0,6,2,42.2,10,TN,2016-04-01,0
LC000132,10000,60,7.71,201.38,A,A3,4 years,RENT,168115,Current,credit_card,3.08,0,22,0,44.0,28,IL,2021-10-01,0
LC000133,15000,60,5.99,289.92,A,A1,1 year,MORTGAGE,54023,Current,debt_consolidation,27.04,1,12,0,69.0,21,OH,2018-12-01,0
LC000134,5000,60,20.74,134.54,D,D2,1 year,RENT,73839,Fully Paid,credit_card,5.94,2,21,0,54.6,26,TN,2016-01-01,0
LC000135,25000,36,10.61,813.86,B,B1,6 years,OWN,81078,Fully Paid,car,28.82,0,7,0,31.0,23,OH,2017-09-01,0
LC000136,30000,60,17.22,749.13,D,D1,6 years,MORTGAGE,34701,Current,debt_consolidation,29.97,0,8,0,70.8,8,PA,2022-06-01,0
LC000137,35000,36,19.85,1298.05,D,D2,4 years,MORTGAGE,50724,Charged Off,credit_card,25.95,0,17,0,5.5,35,PA,2020-03-01,1
LC000138,10000,36,24.84,396.75,E,E1,8 years,RENT,35236,Charged Off,debt_consolidation,1.59,1,25,0,41.9,35,GA,2021-12-01,1
LC000139,15000,36,15.21,521.52,C,C1,< 1 year,RENT,62344,Current,credit_card,0.36,0,21,0,74.0,28,MA,2020-10-01,0
LC000140,5000,60,17.01,124.29,D,D5,3 years,RENT,71684,Fully Paid,other,29.58,1,26,0,20.5,33,AZ,2022-01-01,0
LC000141,7500,36,11.02,245.61,B,B1,8 years,OWN,121626,Current,medical,28.67,0,21,0,43.5,25,GA,2019-05-01,0
LC000142,7500,36,10.86,245.04,B,B3,4 years,RENT,84306,Fully Paid,debt_consolidation,18.29,0,27,0,30.8,35,FL,2016-03-01,0
LC000143,15000,36,20.96,564.82,D,D5,5 years,RENT,59193,Charged Off,debt_consolidation,1.4,0,17,0,55.0,20,MA,2016-03-01,1
LC000144,40000,36,24.67,1583.42,E,E2,6 years,RENT,89027,Default,debt_consolidation,3.37,5,9,1,44.3,13,NY,2020-02-01,1
LC000145,20000,36,5.75,606.18,A,A5,6 years,OWN,54540,Fully Paid,credit_card,12.59,2,4,0,61.7,24,MI,2022-07-01,0
LC000146,35000,60,8.96,725.86,A,A4,3 years,MORTGAGE,91277,Fully Paid,debt_consolidation,35.19,0,20,0,34.4,38,IN,2020-07-01,0
LC000147,5000,60,16.79,123.7,C,C1,4 years,RENT,78088,Late (31-120 days),small_business,25.91,5,15,0,83.9,20,PA,2018-10-01,1
LC000148,12000,60,20.24,319.53,D,D5,5 years,MORTGAGE,73646,Fully Paid,debt_consolidation,43.67,0,8,0,9.0,15,WI,2018-01-01,0
LC000149,7500,60,28.44,235.51,F,F2,5 years,MORTGAGE,159473,Fully Paid,major_purchase,43.23,0,24,0,10.1,33,NJ,2017-03-01,0
LC000150,40000,60,13.89,928.45,C,C4,2 years,MORTGAGE,105207,Late (31-120 days),home_improvement,26.5,0,12,0,29.5,17,CA,2021-10-01,1
LC000151,7500,36,12.93,252.45,B,B5,9 years,RENT,64683,Current,debt_consolidation,7.55,2,5,0,67.0,15,MA,2015-05-01,0
LC000152,25000,36,10.5,812.56,B,B1,< 1 year,RENT,124598,Fully Paid,other,37.3,1,21,0,68.7,26,MA,2016-01-01,0
LC000153,40000,60,27.82,1241.09,F,F1,6 years,RENT,120753,Late (31-120 days),debt_consolidation,19.41,0,22,1,15.7,25,NJ,2018-04-01,1
LC000154,35000,60,17.61,881.36,D,D5,4 years,RENT,36725,Late (31-120 days),debt_consolidation,16.24,0,12,0,62.5,27,OH,2016-01-01,1
LC000155,15000,36,11.18,492.36,B,B1,1 year,RENT,54721,Fully Paid,credit_card,8.32,2,14,0,4.5,28,MA,2019-04-01,0
LC000156,12000,36,8.36,378.03,A,A1,5 years,MORTGAGE,48012,Current,debt_consolidation,36.83,0,20,0,93.6,38,GA,2022-05-01,0
LC000157,7500,60,18.8,193.73,D,D5,8 years,MORTGAGE,97069,Current,credit_card,42.71,0,9,0,12.6,22,NY,2021-04-01,0
LC000158,15000,36,24.67,593.78,E,E3,1 year,RENT,72408,Current,debt_consolidation,0.56,1,21,0,42.0,34,IL,2017-10-01,0
LC000159,30000,36,26.89,1222.99,F,F1,1 year,MORTGAGE,100976,Late (31-120 days),credit_card,7.75,0,22,0,69.4,23,WA,2020-12-01,1
LC000160,30000,60,15.74,725.4,C,C3,< 1 year,RENT,93685,Fully Paid,small_business,43.76,0,12,2,44.3,22,NC,2021-10-01,0
LC000161,10000,36,11.84,331.38,B,B4,8 years,MORTGAGE,114715,Charged Off,other,18.15,1,19,1,2.9,25,OH,2015-04-01,1
LC000162,5000,36,26.96,204.02,F,F2,7 years,OWN,74214,Charged Off,debt_consolidation,20.07,4,18,0,35.0,23,NC,2016-05-01,1
LC000163,15000,60,7.05,297.37,A,A5,3 years,MORTGAGE,96218,Current,other,38.91,4,24,0,91.2,44,PA,2015-04-01,0
LC000164,15000,60,12.3,335.95,B,B3,6 years,MORTGAGE,62141,Fully Paid,credit_card,17.87,0,19,2,96.6,30,MO,2019-05-01,0
LC000165,12000,60,12.22,268.27,B,B3,4 years,RENT,53057,Fully Paid,home_improvement,36.11,0,24,0,14.0,24,TN,2019-05-01,0
LC000166,35000,60,18.9,905.99,D,D5,9 years,MORTGAGE,40652,Current,other,42.33,0,12,0,84.1,29,PA,2019-02-01,0
LC000167,12000,36,19.98,445.84,D,D5,2 years,MORTGAGE,175257,Fully Paid,other,13.82,1,13,0,58.6,27,FL,2022-01-01,0
LC000168,15000,36,28.48,624.35,F,F1,3 years,OWN,108223,Charged Off,credit_card,6.79,5,13,0,56.9,27,IL,2020-12-01,1
LC000169,10000,36,13.63,339.98,C,C2,< 1 year,RENT,28816,Late (31-120 days),debt_consolidation,35.33,1,7,0,63.3,19,AZ,2022-07-01,1
LC000170,5000,60,6.0,96.66,A,A3,5 years,MORTGAGE,66786,Fully Paid,car,31.21,0,7,0,50.3,16,PA,2016-01-01,0
LC000171,30000,36,17.75,1080.81,D,D5,6 years,MORTGAGE,124089,Fully Paid,credit_card,42.66,2,15,0,22.4,19,OH,2015-10-01,0
LC000172,5000,60,19.61,131.39,D,D1,10+ years,RENT,67068,Current,credit_card,0.89,0,16,0,12.4,24,TN,2017-04-01,0
LC000173,7500,36,11.47,247.21,B,B1,4 years,MORTGAGE,87413,Fully Paid,home_improvement,12.72,1,18,0,20.0,26,IN,2018-06-01,0
LC000174,7500,60,5.3,142.57,A,A4,7 years,RENT,77075,Fully Paid,medical,32.56,2,23,0,98.9,32,NC,2022-01-01,0
LC000175,5000,36,5.55,151.09,A,A3,10+ years,RENT,81490,Fully Paid,credit_card,29.12,0,17,1,26.8,19,VA,2020-03-01,0
LC000176,7500,36,15.91,263.34,C,C4,7 years,MORTGAGE,121881,Fully Paid,home_improvement,44.17,1,6,0,59.1,24,MA,2017-10-01,0
LC000177,15000,60,5.05,283.41,A,A2,7 years,RENT,60017,Fully Paid,credit_card,39.07,0,26,0,56.5,36,IN,2016-07-01,0
LC000178,10000,36,10.88,326.82,B,B4,8 years,MORTGAGE,71692,Fully Paid,debt_consolidation,22.31,0,27,0,24.1,35,TX,2018-09-01,0
LC000179,7500,60,11.98,166.76,B,B4,9 years,OWN,113020,Current,credit_card,0.8,0,4,0,0.0,6,WI,2019-09-01,0
LC000180,40000,36,15.87,1403.72,C,C3,< 1 year,MORTGAGE,101139,Current,credit_card,16.35,0,6,0,22.2,16,VA,2019-09-01,0
LC000181,25000,36,8.3,786.87,A,A2,6 years,RENT,73070,Current,credit_card,8.58,0,27,0,92.7,45,FL,2022-08-01,0
LC000182,35000,60,8.64,720.44,A,A4,< 1 year,MORTGAGE,56570,Fully Paid,debt_consolidation,31.13,0,29,0,38.7,48,WI,2020-09-01,0
